route,url,type,title,canonical,robots,jsonLdCount,h1,words,minimumWords
"/editorial-policy","https://mypayrights.com/editorial-policy","core","Editorial Policy — MyPayRights Standards & Review Process · My Pay Rights","https://mypayrights.com/editorial-policy","index, follow","1","Editorial policy","861","140"
"/about","https://mypayrights.com/about","core","About MyPayRights — Law-Backed Employment Pay Calculators · My Pay Rights","https://mypayrights.com/about","index, follow","1","Built to make pay rights easier to check.","707","140"
"/contact","https://mypayrights.com/contact","core","Contact My Pay Rights · My Pay Rights","https://mypayrights.com/contact","index, follow","2","Contact My Pay Rights.","355","140"
"/privacy","https://mypayrights.com/privacy","core","Privacy Policy · My Pay Rights","https://mypayrights.com/privacy","index, follow","0","Privacy Policy","442","100"
"/terms","https://mypayrights.com/terms","core","Terms of Use · My Pay Rights","https://mypayrights.com/terms","index, follow","0","Terms of Use","481","100"
"/disclaimer","https://mypayrights.com/disclaimer","core","Disclaimer · My Pay Rights","https://mypayrights.com/disclaimer","index, follow","0","Disclaimer","332","100"
"/press","https://mypayrights.com/press","core","Press & Media — My Pay Rights · My Pay Rights","https://mypayrights.com/press","index, follow","1","Press & Media","395","180"
"/uk/redundancy","https://mypayrights.com/uk/redundancy","core","UK Redundancy Rights 2026 — Statutory Pay, Notice & Tribunal Claims · My Pay Rights","https://mypayrights.com/uk/redundancy","index, follow","1","UK Redundancy Rights 2026","975","180"
"/uk/maternity-leave","https://mypayrights.com/uk/maternity-leave","core","UK Maternity Leave & Pay 2026 — SMP, Maternity Allowance & Rights · My Pay Rights","https://mypayrights.com/uk/maternity-leave","index, follow","1","UK Maternity Leave & Pay 2026","751","180"
"/uk/pay-rights","https://mypayrights.com/uk/pay-rights","core","UK Pay Rights 2026 — Minimum Wage, Payslips & Unlawful Deductions · My Pay Rights","https://mypayrights.com/uk/pay-rights","index, follow","1","UK Pay Rights 2026","829","180"
"/uk/leaving-job","https://mypayrights.com/uk/leaving-job","core","UK Leaving a Job Pay Checklist 2026 - Notice, Holiday and Redundancy · My Pay Rights","https://mypayrights.com/uk/leaving-job","index, follow","1","UK leaving a job pay checklist","420","180"
"/us/overtime","https://mypayrights.com/us/overtime","core","US Overtime Law 2026 — Who Qualifies, How to Calculate & Claim · My Pay Rights","https://mypayrights.com/us/overtime","index, follow","1","US Overtime Law 2026","727","180"
"/us/pto-payout","https://mypayrights.com/us/pto-payout","core","US PTO Payout Laws 2026 — Do You Get Paid for Unused Vacation? · My Pay Rights","https://mypayrights.com/us/pto-payout","index, follow","1","US PTO Payout Laws 2026","637","180"
"/us/final-paycheck","https://mypayrights.com/us/final-paycheck","core","US Final Paycheck Laws 2026 - Deadlines, Late Pay and Deductions · My Pay Rights","https://mypayrights.com/us/final-paycheck","index, follow","1","US final paycheck laws and late-paycheck checker","466","180"
"/us/final-paycheck/was-my-final-paycheck-late","https://mypayrights.com/us/final-paycheck/was-my-final-paycheck-late","core","Was My Final Paycheck Late? State Deadline Checker · My Pay Rights","https://mypayrights.com/us/final-paycheck/was-my-final-paycheck-late","index, follow","1","Was my final paycheck late?","465","180"
"/us/final-paycheck/employer-deduction-checker","https://mypayrights.com/us/final-paycheck/employer-deduction-checker","core","Can My Employer Deduct From My Final Paycheck? · My Pay Rights","https://mypayrights.com/us/final-paycheck/employer-deduction-checker","index, follow","1","Can my employer deduct from my final paycheck?","485","180"
"/us/new-york/pto-payout-calculator","https://mypayrights.com/us/new-york/pto-payout-calculator","tool","New York PTO Payout Calculator 2026 - Unused Vacation Pay · My Pay Rights","https://mypayrights.com/us/new-york/pto-payout-calculator","index, follow","1","New York PTO payout calculator","471","180"
"/take-home-pay-calculator","https://mypayrights.com/take-home-pay-calculator","tool","Take-home pay calculator · My Pay Rights","https://mypayrights.com/take-home-pay-calculator","index, follow","3","Take-home pay calculator","1141","180"
